bins,dob_mm,no_mmorb,dob_tt
20:01-21:00,December,Death,185
20:01-21:00,December,Survival,12376
20:01-21:00,February,Death,171
20:01-21:00,February,Survival,10447
20:01-21:00,January,Death,166
20:01-21:00,January,Survival,10940
20:01-21:00,July,Death,214
20:01-21:00,July,Survival,12814
20:01-21:00,June,Death,184
20:01-21:00,June,Survival,12214
20:01-21:00,March,Death,172
20:01-21:00,March,Survival,11851
20:01-21:00,May,Death,164
20:01-21:00,May,Survival,11832
20:01-21:00,November,Death,195
20:01-21:00,November,Survival,11944
20:01-21:00,October,Death,202
20:01-21:00,October,Survival,12348
20:01-21:00,September,Death,177
20:01-21:00,September,Survival,12836
21:01-22:00,April,Death,170
21:01-22:00,April,Survival,10844
21:01-22:00,August,Death,190
21:01-22:00,August,Survival,12209
21:01-22:00,December,Death,169
21:01-22:00,December,Survival,11491
21:01-22:00,February,Death,147
21:01-22:00,February,Survival,9801
21:01-22:00,January,Death,146
21:01-22:00,January,Survival,10058
21:01-22:00,July,Death,191
21:01-22:00,July,Survival,12008
21:01-22:00,June,Death,195
21:01-22:00,June,Survival,11699
21:01-22:00,March,Death,187
21:01-22:00,March,Survival,11042
21:01-22:00,May,Death,188
21:01-22:00,May,Survival,11272
21:01-22:00,November,Death,158
21:01-22:00,November,Survival,11333
21:01-22:00,October,Death,185
21:01-22:00,October,Survival,11534
21:01-22:00,September,Death,195
21:01-22:00,September,Survival,12277
22:01-23:00,April,Death,178
22:01-23:00,April,Survival,10095
22:01-23:00,August,Death,194
22:01-23:00,August,Survival,11814
22:01-23:00,December,Death,193
22:01-23:00,December,Survival,11084
22:01-23:00,February,Death,133
22:01-23:00,February,Survival,9241
22:01-23:00,January,Death,167
22:01-23:00,January,Survival,9717
22:01-23:00,July,Death,186
22:01-23:00,July,Survival,11553
22:01-23:00,June,Death,171
22:01-23:00,June,Survival,11091
22:01-23:00,March,Death,166
22:01-23:00,March,Survival,10538
22:01-23:00,May,Death,168
22:01-23:00,May,Survival,10604
22:01-23:00,November,Death,171
22:01-23:00,November,Survival,10558
22:01-23:00,October,Death,174
22:01-23:00,October,Survival,11156
22:01-23:00,September,Death,170
22:01-23:00,September,Survival,11429
23:01-24:00,April,Death,161
23:01-24:00,April,Survival,9517
23:01-24:00,August,Death,176
23:01-24:00,August,Survival,10963
23:01-24:00,December,Death,165
23:01-24:00,December,Survival,10180
23:01-24:00,February,Death,146
23:01-24:00,February,Survival,8608
23:01-24:00,January,Death,128
23:01-24:00,January,Survival,8866
23:01-24:00,July,Death,180
23:01-24:00,July,Survival,10629
23:01-24:00,June,Death,165
23:01-24:00,June,Survival,10250
23:01-24:00,March,Death,139
23:01-24:00,March,Survival,9748
23:01-24:00,May,Death,189
23:01-24:00,May,Survival,9809
23:01-24:00,November,Death,152
23:01-24:00,November,Survival,9786
23:01-24:00,October,Death,156
23:01-24:00,October,Survival,10324
23:01-24:00,September,Death,173
23:01-24:00,September,Survival,10757
